num_train,deg,trial,seed,solver,num_contexts,loss_Y,regret_Y,regret_Y_lowvar,regret_fstar,sum_Y_zmethod,sum_fstar_zmethod,sum_Y_zY,sum_fstar_zY,sum_fstar_zfstar
100,1,13,1156,spo,1000,8.602236,17.963867,18.334523,2.636251,8602.235740,8629.264932,7292.263255,8861.723290,8407.618977
100,1,14,1157,gbm,1000,8.803698,20.136138,20.057029,2.992449,8803.698260,8797.901099,7328.101616,8936.912464,8542.277832
100,1,14,1157,lasso,1000,8.589876,17.218294,17.568751,0.857848,8589.875693,8615.557577,7328.101616,8936.912464,8542.277832
100,1,14,1157,spo,1000,8.693443,18.631584,18.819202,1.930563,8693.443059,8707.191849,7328.101616,8936.912464,8542.277832
100,1,15,1158,gbm,1000,8.792062,20.691526,21.023397,4.090463,8792.062247,8816.238185,7284.738678,8871.051559,8469.784742
100,1,15,1158,lasso,1000,8.547846,17.339086,17.903451,1.407043,8547.845810,8588.958280,7284.738678,8871.051559,8469.784742
100,1,15,1158,spo,1000,8.590265,17.921385,18.866382,2.235246,8590.264717,8659.105308,7284.738678,8871.051559,8469.784742
100,1,16,1159,gbm,1000,8.693787,19.268777,19.173714,2.916812,8693.787210,8686.857783,7289.239811,8868.013283,8440.659618
100,1,16,1159,lasso,1000,8.545089,17.228813,17.292848,1.292522,8545.089324,8549.756985,7289.239811,8868.013283,8440.659618
100,1,16,1159,spo,1000,8.637697,18.499287,18.354440,2.209298,8637.697219,8627.138979,7289.239811,8868.013283,8440.659618
100,1,17,1160,gbm,1000,8.847138,19.653475,19.642932,3.342775,8847.138370,8846.358831,7393.966944,8970.681149,8560.210262
100,1,17,1160,lasso,1000,8.673154,17.300417,17.192815,1.226462,8673.154057,8665.197970,7393.966944,8970.681149,8560.210262
100,1,17,1160,spo,1000,8.750157,18.341845,18.274885,2.161111,8750.156915,8745.205926,7393.966944,8970.681149,8560.210262
100,1,18,1161,gbm,1000,8.806083,20.579264,20.736483,3.542204,8806.082641,8817.564635,7303.148467,8905.115254,8515.913591
100,1,18,1161,lasso,1000,8.655869,18.522428,18.389124,1.529136,8655.868885,8646.133521,7303.148467,8905.115254,8515.913591
100,1,18,1161,spo,1000,8.722457,19.434206,19.606197,2.572883,8722.457402,8735.018124,7303.148467,8905.115254,8515.913591
100,1,19,1162,gbm,1000,8.630534,19.581579,19.267023,3.740480,8630.533685,8607.831353,7217.276916,8749.127976,8297.466300
100,1,19,1162,lasso,1000,8.476156,17.442570,16.800214,1.594807,8476.155511,8429.794877,7217.276916,8749.127976,8297.466300
100,1,19,1162,spo,1000,8.516858,18.006523,17.647294,2.331612,8516.857545,8490.930999,7217.276916,8749.127976,8297.466300
